customer_id,first_name,last_name,loyalty_tier,effective_date,end_date,current_flag
C0001,Eve,Smith,Platinum,2021-10-10,,Y
C0002,Alice,Jones,Silver,2021-06-12,,Y
C0003,Bob,Smith,Platinum,2021-11-15,,Y
C0004,John,Johnson,Platinum,2021-02-18,,Y
C0005,Hank,Wilson,Gold,2021-07-20,,Y
C0006,Grace,Rodriguez,Platinum,2022-11-26,,Y
C0007,Grace,Wilson,Silver,2022-09-11,,Y
C0008,Diana,Garcia,Gold,2022-06-11,,Y
C0009,Grace,Williams,Gold,2021-01-19,2021-03-28,N
C0009,Grace,Williams,Platinum,2021-03-28,,Y
C0010,Diana,Smith,Silver,2022-06-28,2022-09-23,N
C0010,Diana,Smith,Platinum,2022-09-23,,Y
C0011,Jane,Davis,Platinum,2022-10-16,,Y
C0012,Jane,Williams,Gold,2021-11-08,,Y
C0013,Alice,Garcia,Gold,2021-08-21,2022-08-15,N
C0013,Alice,Garcia,Silver,2022-08-15,,Y
C0014,Frank,Rodriguez,Platinum,2022-08-28,2022-11-20,N
C0014,Frank,Rodriguez,Gold,2022-11-20,,Y
C0015,Charlie,Williams,Platinum,2022-07-16,2023-04-08,N
C0015,Charlie,Williams,Silver,2023-04-08,,Y
C0016,Alice,Davis,Gold,2022-01-28,2022-12-20,N
C0016,Alice,Davis,Platinum,2022-12-20,,Y
C0017,Frank,Johnson,Platinum,2022-12-02,2023-11-25,N
C0017,Frank,Johnson,Silver,2023-11-25,,Y
C0018,Bob,Johnson,Silver,2021-01-19,,Y
C0019,Diana,Smith,Platinum,2021-03-04,,Y
C0020,Hank,Wilson,Silver,2022-04-09,2022-12-14,N
C0020,Hank,Wilson,Gold,2022-12-14,,Y
C0021,Eve,Johnson,Silver,2022-06-14,,Y
C0022,Diana,Rodriguez,Silver,2022-06-15,,Y
C0023,Hank,Wilson,Silver,2021-10-02,,Y
C0024,Grace,Brown,Gold,2022-07-25,,Y
C0025,Frank,Garcia,Silver,2022-04-09,,Y
C0026,Frank,Wilson,Platinum,2021-08-13,,Y
C0027,Bob,Jones,Gold,2022-08-18,,Y
C0028,Grace,Brown,Gold,2022-05-27,,Y
C0029,Charlie,Garcia,Gold,2022-02-03,,Y
C0030,Eve,Smith,Silver,2022-05-13,2022-11-22,N
C0030,Eve,Smith,Gold,2022-11-22,,Y
C0031,Frank,Williams,Gold,2021-12-02,,Y
C0032,Alice,Johnson,Silver,2022-04-27,,Y
C0033,John,Wilson,Gold,2022-11-27,2023-10-05,N
C0033,John,Wilson,Platinum,2023-10-05,,Y
C0034,Grace,Jones,Gold,2022-09-21,,Y
C0035,Hank,Wilson,Gold,2021-09-26,,Y
C0036,Jane,Brown,Platinum,2022-06-30,,Y
C0037,Hank,Davis,Gold,2022-02-04,,Y
C0038,Eve,Smith,Silver,2021-12-22,,Y
C0039,Alice,Miller,Silver,2022-04-07,,Y
C0040,Diana,Miller,Gold,2021-12-02,,Y
C0041,Eve,Smith,Gold,2022-06-26,2023-06-10,N
C0041,Eve,Smith,Silver,2023-06-10,,Y
C0042,Grace,Jones,Platinum,2021-12-12,,Y
C0043,Alice,Garcia,Platinum,2022-02-19,2022-12-15,N
C0043,Alice,Garcia,Gold,2022-12-15,,Y
C0044,Diana,Williams,Silver,2021-08-24,,Y
C0045,Hank,Johnson,Platinum,2021-11-14,,Y
C0046,Charlie,Smith,Gold,2021-12-31,2022-06-29,N
C0046,Charlie,Smith,Silver,2022-06-29,,Y
C0047,Alice,Johnson,Platinum,2021-09-02,2022-04-25,N
C0047,Alice,Johnson,Silver,2022-04-25,,Y
C0048,John,Davis,Gold,2022-06-16,,Y
C0049,Alice,Jones,Gold,2022-10-03,,Y
C0050,Eve,Wilson,Gold,2021-04-28,2021-10-25,N
C0050,Eve,Wilson,Silver,2021-10-25,,Y
