customer_id,first_name,last_name,loyalty_tier,effective_date,end_date,current_flag
C0001,Alice,Smith,Platinum,2022-09-22,2023-03-28,N
C0001,Alice,Smith,Gold,2023-03-28,,Y
C0002,Charlie,Miller,Platinum,2021-06-29,,Y
C0003,Charlie,Miller,Platinum,2021-04-26,,Y
C0004,Jane,Smith,Silver,2021-05-17,,Y
C0005,Hank,Wilson,Platinum,2021-07-13,,Y
C0006,Alice,Smith,Gold,2021-05-05,,Y
C0007,Bob,Jones,Silver,2022-02-13,,Y
C0008,Frank,Rodriguez,Gold,2022-09-19,,Y
C0009,Bob,Miller,Gold,2022-02-27,,Y
C0010,Grace,Smith,Silver,2021-05-31,2021-08-07,N
C0010,Grace,Smith,Gold,2021-08-07,,Y
C0011,Diana,Wilson,Silver,2022-09-03,,Y
C0012,John,Johnson,Platinum,2022-08-25,,Y
C0013,Hank,Garcia,Silver,2022-03-17,,Y
C0014,Hank,Williams,Platinum,2022-07-04,,Y
C0015,Hank,Brown,Platinum,2022-11-26,,Y
C0016,Eve,Brown,Silver,2021-09-12,,Y
C0017,John,Garcia,Gold,2022-05-29,,Y
C0018,Jane,Rodriguez,Silver,2021-06-24,,Y
C0019,Charlie,Williams,Platinum,2022-04-09,2022-10-22,N
C0019,Charlie,Williams,Silver,2022-10-22,,Y
C0020,Charlie,Smith,Platinum,2021-05-07,,Y
C0021,Alice,Williams,Platinum,2021-12-13,,Y
C0022,Frank,Jones,Silver,2022-10-09,,Y
C0023,Eve,Williams,Gold,2021-06-22,2021-11-05,N
C0023,Eve,Williams,Platinum,2021-11-05,,Y
C0024,Alice,Williams,Platinum,2022-03-08,,Y
C0025,John,Miller,Platinum,2021-06-25,,Y
C0026,Diana,Williams,Gold,2021-01-13,,Y
C0027,Jane,Rodriguez,Gold,2021-03-07,,Y
C0028,Grace,Miller,Platinum,2021-02-12,2022-01-19,N
C0028,Grace,Miller,Gold,2022-01-19,,Y
C0029,Grace,Johnson,Gold,2022-01-11,,Y
C0030,Bob,Miller,Platinum,2022-02-20,,Y
C0031,Frank,Wilson,Gold,2021-06-03,,Y
C0032,John,Wilson,Silver,2021-09-19,2022-08-11,N
C0032,John,Wilson,Gold,2022-08-11,,Y
C0033,Eve,Jones,Platinum,2021-01-02,2021-12-03,N
C0033,Eve,Jones,Gold,2021-12-03,,Y
C0034,Eve,Miller,Silver,2021-03-15,2021-12-27,N
